MIN_NUM_WORKERS,aggregation_algorithm,batch_size,best_acc,best_f1,best_loss,best_prec,best_recall,best_round,convnet_hidden1,convnet_hidden2,dataframe_path,dataset_name,dataset_path,device,early_stop_patience,encryption_mode,fedprox_mu,global_epoch,gpu_blacklist,he_backend,heartbeat_interval_hours,image_size,learning_rate,local_epoch,log_dir,model_name,models_percentage,notification_interval,num_classes,num_clients,num_custom_layers,num_parallel_executions,pc_name,plot_dir,round_timeout,splitting_dir,telegram_bot_token,telegram_chat_id,total_duration,weighted_aggregation,worker_id
8,FedAvg,16,0.5849056603773585,0.4317160826594789,0.6800791025161743,0.3421146315414738,0.5849056603773585,1,-1,-1,csv_geosciences/runs/20260415-155836_dataset_slices_sorted_worker_3.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.01,1,logs_geosciences/dataset_slices_sorted_run_3_GoogLeNet,GoogLeNet,1,,2,8,2,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_3_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_3_GoogLeNet,,,154.06193089485168,True,3
8,FedProx,16,0.5849056603773585,0.4317160826594789,0.6826430514173688,0.3421146315414738,0.5849056603773585,1,-1,-1,csv_geosciences/runs/20260415-155840_dataset_slices_sorted_worker_1.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.05,5,,,,224,0.01,1,logs_geosciences/dataset_slices_sorted_run_1_GoogLeNet,GoogLeNet,1,,2,8,2,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_1_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_1_GoogLeNet,,,150.58003878593445,True,1
8,FedAvg,16,0.5849056603773585,0.4317160826594789,0.6918992175246185,0.3421146315414738,0.5849056603773585,0,-1,-1,csv_geosciences/runs/20260415-155843_dataset_slices_sorted_worker_4.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.01,1,logs_geosciences/dataset_slices_sorted_run_4_GoogLeNet,GoogLeNet,1,,2,8,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_4_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_4_GoogLeNet,,,154.6799075603485,True,4
8,FedProx,16,0.5849056603773585,0.4317160826594789,0.69036757917899,0.3421146315414738,0.5849056603773585,1,-1,-1,csv_geosciences/runs/20260415-155900_dataset_slices_sorted_worker_7.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.05,5,,,,224,0.01,1,logs_geosciences/dataset_slices_sorted_run_7_GoogLeNet,GoogLeNet,1,,2,8,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_7_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_7_GoogLeNet,,,153.06839513778687,True,7
8,FedAvg,16,0.6037735849056604,0.5916164045267897,0.6905491082173474,0.5946844659744069,0.6037735849056604,0,-1,-1,csv_geosciences/runs/20260415-155901_dataset_slices_sorted_worker_0.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.001,1,logs_geosciences/dataset_slices_sorted_run_0_GoogLeNet,GoogLeNet,1,,2,8,2,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_0_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_0_GoogLeNet,,,152.9302248954773,True,0
8,FedProx,16,0.625,0.5591980672722995,0.6669591645587165,0.6393663393498504,0.625,3,-1,-1,csv_geosciences/runs/20260415-155903_dataset_slices_sorted_worker_10.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.05,5,,,,224,0.001,1,logs_geosciences/dataset_slices_sorted_run_10_GoogLeNet,GoogLeNet,1,,2,8,2,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_10_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_10_GoogLeNet,,,148.91789031028748,True,10
8,FedAvg,16,0.5849056603773585,0.4317160826594789,0.6837846423095127,0.3421146315414738,0.5849056603773585,0,-1,-1,csv_geosciences/runs/20260415-155910_dataset_slices_sorted_worker_9.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.001,1,logs_geosciences/dataset_slices_sorted_run_9_GoogLeNet,GoogLeNet,1,,2,8,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_9_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_9_GoogLeNet,,,157.8756091594696,True,9
4,FedAvg,16,0.5952380952380952,0.47874660511606487,0.6579023660648436,0.5816819608560067,0.5952380952380952,3,-1,-1,csv_geosciences/runs/20260415-155930_dataset_slices_sorted_worker_5.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.0001,1,logs_geosciences/dataset_slices_sorted_run_5_GoogLeNet,GoogLeNet,1,,2,4,2,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_5_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_5_GoogLeNet,,,272.321763753891,True,5
4,FedProx,16,0.6047619047619047,0.47751068224026877,0.6619239868152709,0.6955499351844298,0.6047619047619047,2,-1,-1,csv_geosciences/runs/20260415-155943_dataset_slices_sorted_worker_8.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.05,5,,,,224,0.0001,1,logs_geosciences/dataset_slices_sorted_run_8_GoogLeNet,GoogLeNet,1,,2,4,2,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_8_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_8_GoogLeNet,,,284.99802684783936,True,8
8,FedProx,16,0.6367924528301887,0.6050441951761832,0.689067689315328,0.6378878907517637,0.6367924528301887,2,-1,-1,csv_geosciences/runs/20260415-155943_dataset_slices_sorted_worker_6.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.05,5,,,,224,0.001,1,logs_geosciences/dataset_slices_sorted_run_6_GoogLeNet,GoogLeNet,1,,2,8,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_6_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_6_GoogLeNet,,,168.74912285804749,True,6
4,FedAvg,16,0.5904761904761905,0.4384374108925007,0.6823868953046345,0.34866213151927433,0.5904761904761905,0,-1,-1,csv_geosciences/runs/20260415-155951_dataset_slices_sorted_worker_2.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.0001,1,logs_geosciences/dataset_slices_sorted_run_2_GoogLeNet,GoogLeNet,1,,2,4,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_2_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_2_GoogLeNet,,,293.25065326690674,True,2
4,FedProx,16,0.5904761904761905,0.4384374108925007,0.6794537295897801,0.34866213151927433,0.5904761904761905,0,-1,-1,csv_geosciences/runs/20260415-155951_dataset_slices_sorted_worker_11.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.05,5,,,,224,0.0001,1,logs_geosciences/dataset_slices_sorted_run_11_GoogLeNet,GoogLeNet,1,,2,4,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_11_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_11_GoogLeNet,,,293.40223836898804,True,11
8,FedAvg,16,0.5849056603773585,0.4317160826594789,0.6743284655067155,0.3421146315414738,0.5849056603773585,0,-1,-1,csv_geosciences/runs/20260415-160127_dataset_slices_sorted_worker_3.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.0001,1,logs_geosciences/dataset_slices_sorted_run_3_GoogLeNet,GoogLeNet,1,,2,8,2,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_3_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_3_GoogLeNet,,,168.5111744403839,True,3
8,FedProx,16,0.5966981132075472,0.45649173805438736,0.659374660056717,0.5019856505189364,0.5966981132075472,4,-1,-1,csv_geosciences/runs/20260415-160131_dataset_slices_sorted_worker_4.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.05,5,,,,224,0.0001,1,logs_geosciences/dataset_slices_sorted_run_4_GoogLeNet,GoogLeNet,1,,2,8,2,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_4_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_4_GoogLeNet,,,165.11875987052917,True,4
8,FedAvg,16,0.5849056603773585,0.4317160826594789,0.6833419743573891,0.3421146315414738,0.5849056603773585,0,-1,-1,csv_geosciences/runs/20260415-160135_dataset_slices_sorted_worker_1.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.0001,1,logs_geosciences/dataset_slices_sorted_run_1_GoogLeNet,GoogLeNet,1,,2,8,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_1_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_1_GoogLeNet,,,170.4545238018036,True,1
